#   DATE TIME   EVLA    EVLO   STLA    STLO  EVDP   DIST    AZI    BAZ   FAST DFAST  TLAG DTLAG   SPOL DSPOL    WBEG    WEND STAT STRIKE   DIP REGION
 2006142 1307  54.14  158.92  38.64  -90.24 206.0  70.20  51.07 324.24 -79.00  5.50  1.02  0.13  75.60  0.46 1183.25 1199.33  SLM 214.27 45.22 Kuril
 2008187 0212  53.88  152.89  37.63 -118.84 632.8  59.73  66.77 316.75 -11.00 12.50  0.93  0.24 104.66  1.59  984.97 1009.70 MLAC 193.75 63.00 Kuril
 2008329 0902  54.20  154.32  38.64  -90.24 492.3  72.21  47.96 326.14 -65.00 11.50  0.73  0.16  75.27  1.29 1149.52 1167.42  SLM 204.21 59.70 Kuril
 1995175 0658  -3.96  153.93 -66.66  140.00 386.0  63.34 186.16  15.59   5.00  2.00  0.85  0.02 132.55  0.22 1069.39 1077.94  DRV 309.47 73.11 New_Britain
 1999130 2032  -6.14  152.37 -66.66  140.00 222.0  61.03 185.60  14.09  -5.00  6.25  2.00  0.24  24.77  2.82 1091.64 1113.32  DRV 254.68  6.73 New_Britain
 2006361 2015  -5.26  154.30 -66.66  140.00 430.0  62.10 186.39  16.16  -5.00  5.50  1.05  0.09  51.45  0.98 1037.59 1054.37  DRV 313.98 70.82 New_Britain
 1996272 1410  10.05  125.43 -66.66  140.00 237.0  77.25 174.10 345.28  -7.00  7.50  1.35  0.14  24.67  2.07 1250.90 1266.83  DRV 159.81 64.71 Philippine
 2005036 1223   5.02  123.53 -66.66  140.00 558.0  72.49 173.20 342.77  20.00  2.75  0.70  0.03  57.39  0.13 1155.58 1165.40  DRV 199.00 52.70 Philippine
 1991174 2122 -26.80  -63.35  38.06  -91.24 558.0  69.62 336.80 153.51 -37.00  4.00  1.13  0.29  43.82  0.71 1094.81 1129.55  CCM  -3.78 63.88 South_America
 1993292 0402 -22.38  -65.97  38.03 -120.39 272.0  78.87 319.12 129.90 -41.00  9.75  0.90  0.25  26.96  0.98 1259.15 1283.39  CMB  -8.25 37.84 South_America
 1994010 1553 -13.34  -69.45  38.03 -120.39 596.0  69.90 319.24 126.41 -53.00 19.50  0.85  0.48  13.84  1.27 1110.96 1132.66  CMB -48.81 72.94 South_America
 1994119 0711 -28.24  -63.04  38.06  -91.24 546.0  71.04 336.77 153.84 -33.00  3.00  1.27  0.25  48.10  0.56 1123.08 1146.10  CCM -11.41 65.41 South_America
 1994130 0636 -28.37  -63.03  38.06  -91.24 595.0  71.17 336.78 153.88 -24.00 17.50  0.55  0.25  49.96  0.55 1121.96 1142.38  CCM -13.15 65.35 South_America
 1994231 1002 -26.48  -63.27  38.06  -91.24 539.0  69.35 336.69 153.30 -30.00  1.25  1.33  0.09  49.08  0.28 1109.15 1127.98  CCM  -4.31 64.07 South_America
 1997332 2253 -13.74  -68.79  38.06  -91.24 586.0  55.66 338.58 153.29  72.00  3.75  1.00  0.14 235.99  1.14  929.20  947.70  CCM -57.26 66.58 South_America
 1998242 0752 -23.93  -66.91  38.06  -91.24 219.5  65.76 339.10 155.57  29.00 11.25  0.90  0.17  61.48  1.29 1125.37 1137.67  CCM  -7.41 26.44 South_America
 1999240 1239  -1.90  -79.16  38.03 -120.39 201.7  55.01 320.57 126.49  -3.00  3.25  1.93  0.16  63.79  0.93 1004.11 1032.07  CMB -19.31 21.22 South_America
 1999240 1239  -1.90  -79.16  54.72 -101.98 201.7  59.50 344.86 153.27 -15.00 19.75  0.65  0.51  87.84  1.24 1054.49 1071.16  FFC -19.31 21.22 South_America
 1999258 0301 -21.22  -66.23  32.68 -116.67 232.6  72.08 316.89 130.88 -10.00  5.00  0.75  0.08  21.45  0.49 1183.60 1210.91  BAR -11.28 34.94 South_America
 1999258 0301 -21.22  -66.23  54.83  -66.83 232.6  75.74 359.64 179.42   2.00  8.50  0.70  0.21 108.78  0.76 1226.43 1246.95 SCHQ -11.28 34.94 South_America
 1999258 0301 -21.22  -66.23  38.06  -91.24 232.6  63.48 338.10 153.84  84.00  6.25  1.15  0.30 251.28  1.48 1079.47 1098.94  CCM -11.28 34.94 South_America
 1999258 0301 -21.22  -66.23  38.64  -90.24 232.6  63.66 339.17 154.94 -66.00 13.00  0.63  0.11  68.65  2.03 1082.70 1104.79  SLM -11.28 34.94 South_America
 2000114 0927 -27.71  -62.32  32.68 -116.67 640.0  79.21 315.76 132.83  -9.00  7.50  0.47  0.06  23.70  0.37 1202.77 1223.62  BAR  -5.30 67.27 South_America
 2000114 0927 -27.71  -62.32  38.64  -90.24 640.0  70.98 337.18 153.96 -57.00 12.75  0.70  0.19  59.32  1.97 1107.03 1140.00  SLM  -5.30 67.27 South_America
 2000133 1843 -23.70  -66.73  37.63 -118.84 235.1  78.23 320.21 132.36  40.00  7.50  1.13  0.29 201.35  1.25 1268.20 1291.65 MLAC  -5.54 28.68 South_America
 2000133 1843 -23.70  -66.73  42.77 -111.10 235.1  77.75 328.20 139.01 -15.00  3.50  1.18  0.06  35.08  0.63 1255.73 1286.65 AHID  -5.54 28.68 South_America
 2001180 1835 -19.47  -66.18  38.03 -120.39 265.6  76.56 318.81 128.11 -13.00  1.75  1.38  0.11  61.34  0.24 1240.43 1261.65  CMB -18.89 40.42 South_America
 2001180 1835 -19.47  -66.18  33.65 -117.01 265.6  71.68 317.06 129.60  -5.00 12.00  0.90  0.26  60.20  0.69 1187.49 1208.52  DGR -18.89 40.42 South_America
 2001180 1835 -19.47  -66.18  54.72 -101.98 265.6  79.98 339.84 145.91 -33.00  7.75  0.43  0.09  80.10  0.22 1274.76 1290.14  FFC -18.89 40.42 South_America
 2001180 1835 -19.47  -66.18  38.06  -91.24 265.6  61.88 337.72 153.05 -59.00  8.50  0.50  0.05  83.22  0.37 1065.53 1081.85  CCM -18.89 40.42 South_America
 2002285 2009  -7.96  -71.47  38.03 -120.39 540.4  64.56 318.77 124.23   5.00  6.50  2.13  0.33 161.23  1.19 1050.20 1081.56  CMB  -9.01 66.69 South_America
 2002285 2009  -7.96  -71.47  33.65 -117.01 540.4  59.81 316.47 125.13  58.00  8.50  1.45  0.39 169.49  0.50  999.05 1018.75  DGR  -9.01 66.69 South_America
 2002285 2009  -7.96  -71.47  54.72 -101.98 540.4  67.48 341.41 147.02   9.00 16.25  0.57  0.19 161.14  0.72 1081.86 1106.53  FFC  -9.01 66.69 South_America
 2003171 0619  -7.28  -71.69  54.83  -66.83 569.7  62.02   3.18 185.46 -39.00  2.75  1.65  0.25 331.57  0.88 1020.51 1035.13 SCHQ  -1.86 65.82 South_America
 2003171 0619  -7.28  -71.69  38.03 -120.39 569.7  63.91 318.66 123.92   7.00  4.00  1.98  0.11 148.37  1.66 1039.29 1062.45  CMB  -1.86 65.82 South_America
 2003208 1141 -20.13  -65.18  38.03 -120.39 345.3  77.67 318.41 127.83 -17.00  2.75  1.38  0.08  45.51  0.36 1232.70 1258.22  CMB -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  32.68 -116.67 345.3  71.97 316.05 129.35   0.00 18.00  0.40  0.14  42.58  2.15 1176.12 1191.25  BAR -19.95 44.72 South_America
